joint_index,parent_index,joint_name
0,-1,pelvis
1,0,spine1
2,1,spine2
3,2,shoulderBlade
4,3,l_shoulder
5,4,l_elbow
6,5,l_carpal
7,6,lf_fetlock
8,7,lf_hoof
9,3,r_shoulder
10,9,r_elbow
11,10,r_carpal
12,11,rf_fetlock
13,12,rf_hoof
14,3,neck_under
15,14,neck_upper
16,15,head_base
17,16,head_tip
18,0,l_hip
19,18,l_knee
20,19,l_hock
21,20,lh_fetlock
22,21,lh_hoof
23,0,r_hip
24,23,r_knee
25,24,r_hock
26,25,rh_fetlock
27,26,rh_hoof
28,0,tail_base
29,28,tail_mid
30,29,tail_mid2
31,30,tail_mid3
32,31,tail_tip
33,17,jaw_tip
34,17,ear_l
35,17,ear_r
